Time_Var,Sensor1_Var,Sensor2_Var,Sensor3_Var,Time_Mean,Sensor1_Mean,Sensor2_Mean,Sensor3_Mean,Time_Kurt,Sensor1_Kurt,Sensor2_Kurt,Sensor3_Kurt,Time_Skew,Sensor1_Skew,Sensor2_Skew,Sensor3_Skew,Time_Max,Sensor1_Max,Sensor2_Max,Sensor3_Max,Time_Min,Sensor1_Min,Sensor2_Min,Sensor3_Min,Time_Median,Sensor1_Median,Sensor2_Median,Sensor3_Median,Time_Std,Sensor1_Std,Sensor2_Std,Sensor3_Std,Activity
2913954661458.6357,2.210607042186538e+32,1.990382866035455e+32,1.0008479023573216e+31,2897197.527027027,1.1096090636060046e+16,5384716268628835.0,7476612898981251.0,-1.2000002564505032,2.2226284977947253,4.972273754899925,0.8725685603310875,1.350096937451658e-06,1.9049921883095005,-0.2707047017794995,-1.5572481574284398,5794398,53460001945495605,49900001287460327,11960000038146973,0,410099983215332,-50999999046325684,84350004196167,2897196.5,5244500160217285.0,5975000075995922.0,8612499713897705.0,1707030.9491800773,1.4868110310952558e+16,1.410809294708344e+16,3163618027444719.0,sit
1985680094340.0793,2.033399067959698e+32,1.5168391753903487e+32,6.122564560413385e+30,2381255.770491803,1.1143603176367092e+16,7502360719759934.0,8361786910823134.0,-1.199999801070497,1.0018982733187745,4.961649514523856,6.289247656050762,-1.3799218768988987e-06,1.6316768843956582,0.12436064350064355,-2.5536353335149604,4762509,48480000495910645,45100000500679016,12439000129699707,0,410099983215332,-39000000804662704,90600004196167,2381257.0,4755000114440918.0,7390000224113464.0,8871000289916992.0,1409141.6161408615,1.4259730249761732e+16,1.231600249833666e+16,2474381652133192.0,sit
2463446534838.564,1.2379513103846123e+32,1.863193908871265e+32,8.672105342912487e+31,2659060.132352941,8500101414498159.0,1.1799544205122136e+16,8626082359061922.0,-1.1999997667760876,4.093488544054152,1.8583372039546768,50.308574907885664,-8.160019612714261e-07,2.3329913802199913,1.571586992926943,6.522342625540272,5318119,43979997634887695,52000001072883606,79029998779296875,0,263700008392334,-16099999845027924,9125,2659060.5,4511500120162964.0,6815000176429748.0,8943999767303467.0,1569537.0447487258,1.1126326035060326e+16,1.3649886112606452e+16,9312413942105714.0,sit
1083779186536.9502,1.9876263500280023e+32,2.4287674046229484e+32,3.965915062842515e+31,1277535.17,9662044024944312.0,1.0706400009989744e+16,8327363987922665.0,-0.1775600691084569,4.031028144421972,1.8313959331598872,62.839782212403996,0.9426159552508964,2.3657332950484404,0.9795853434770895,6.920810789811596,3809979,52170000076293945,48500001430511475,64019999504089355,0,525,-39800000190734863,785099983215332,982262.5,5115000009536743.0,5400000214576721.0,8642999649047852.0,1041047.1586517828,1.4098320290119678e+16,1.5584503215126712e+16,6297551161239196.0,sit
1675885427801.1257,2.4321674278657747e+32,1.3577799401469258e+32,6.93619309898338e+30,2182800.535714286,1.414871605975291e+16,1.042666074606989e+16,8614872355972017.0,-1.2000002315349079,-0.6612128796760484,1.191252581034096,6.172556868727459,-6.550947725635964e-07,1.0279706221384592,1.3983133898573434,-1.601676226845207,4365600,49629998207092285,46299999952316284,16295000076293945,0,2125,-6700000166893005,90600004196167,2182801.0,4654000043869018.0,5425000190734864.0,9062000274658204.0,1294559.9359632314,1.5595407746723952e+16,1.1652381473960272e+16,2633665335418185.0,sit
778081075829.594,1.3480934379974856e+32,1.1075362491070622e+32,1.2285468102598997e+32,1468422.0263157894,8935952623267064.0,1.019592106107034e+16,9068339382974724.0,-1.199999893181729,3.1524995389186534,3.086723014846082,31.39828973358809,-4.478124477460043e-07,2.0447922828152523,1.6841316262591348,5.3296534780326414,2936843,44770002365112305,46299999952316284,72729997634887695,0,40,-4800000041723251,842300033569336,1468422.0,4486499786376953.0,7039999961853028.0,8685500144958496.0,882089.0407603951,1.1610742603285484e+16,1.0523954813220466e+16,1.108398308488379e+16,sit
7248291253480.462,3.0753969324324575e+32,1.732063733691459e+32,1.7753994938804503e+32,4603652.615384615,1.6328650412956866e+16,6326034245901126.0,1.0637348711877804e+16,-1.2000001736073052,-0.1449671000444548,1.9012354191997805,16.431450640271088,-5.697888618964657e-07,1.0628720202370632,0.594422087555878,4.054600406869661,9207303,61529998779296875,49900001287460327,74120001792907715,0,336299991607666,-28299999237060547,65,4603653.0,5343999862670898.0,5419999957084656.0,8265000343322754.0,2692265.078605831,1.753680966547923e+16,1.3160789238079374e+16,1.3324411783941722e+16,up
8804341388170.475,3.1525187834034286e+32,2.245902924746927e+32,1.17772537985712e+32,5079869.15503876,1.6380897652456e+16,3198945750850578.0,9623272512495054.0,-1.2000000183703619,0.42924247724647646,2.1734283996909105,32.95729997743322,-9.95702489512758e-08,1.2010757800516376,0.3595060910131238,5.54915788905619,10159738,68979997634887695,54999999701976776,78979997634887695,0,351200008392334,-37599998712539673,84399995803833,5079869.0,5432000160217285.0,3840000033378601.0,8626999855041504.0,2967211.045438203,1.7755333799744314e+16,1.4986336859776398e+16,1.0852305652980476e+16,up
6644495727188.04,2.1191662843829707e+32,3.811308768989725e+32,7.504998029041045e+31,4405205.553571428,1.3053766075388662e+16,-1603571368141894.5,9035347290124216.0,-1.1999996986762431,2.713638804751618,1.1708293290209406,37.307126664295915,1.2713557527574395e-06,1.6021854842514585,-0.21511661299674437,5.615650030131881,8810416,70920000076293945,49900001287460327,67870001792907715,0,-9829999804496765,-57999998331069946,572599983215332,4405204.0,5641000092029572.0,-1296999990940094.0,8342000007629394.0,2577691.937991823,1.4557356505846008e+16,1.952257352141291e+16,8663139170670782.0,up
7878293224022.944,2.025481232996472e+32,2.124358735961989e+32,1.8003155005529406e+32,4802083.762295082,1.1230671321906056e+16,1711803256427138.5,1.0572131992089942e+16,-1.1999998209961555,2.059298231129006,1.7677130825258374,18.064967632258686,-4.328716775552735e-07,1.4517002920050606,-0.3321089517874835,4.222269422747463,9604165,63520002365112305,46799999475479126,78460001945495605,0,-20169999599456787,-49399998784065247,103100004196167,4802084.5,5168999910354614.0,3240000009536743.0,8486499786376953.0,2806829.7461768044,1.4231940250705354e+16,1.4575180053645954e+16,1.3417583614619066e+16,up
